Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
R Waterhouse,,,Quaker,APS,1861,1863
Thomas Wedmore,,,Quaker,APS,1861,1865
James Wells,,,Quaker,APS,1861,1862
Daniel Wheeler,,,Quaker,APS,1839,1840
W Whiting,,,Quaker,APS,1861,1862
John Jun Williams,,,Quaker,APS,1838,1839
W R Williams,,,Quaker,APS,1860,1861
Charles Wilson,,,Quaker,APS,1867,1868
George Wilson,,,Quaker,APS,1861,1868
Isaac Wilson,,,Quaker,APS,1838,1841
Joseph Wilson,,,Quaker,APS,1839,1840
Rebecca Wilson,,,Quaker,APS,1839,1862
H Wise,,,Quaker,APS,1839,1841
William Woods,,,Quaker,APS,1865,1866
Louisa Wright,,,Quaker,APS,1862,1868
James Bowden,,,Quaker,QCA,1842,1848
William Nash,,,Quaker,QCA,1842,1848
Joseph Sturge,,,Quaker,QCA,1842,1848
Joseph Sturge,,,Quaker,HOD,,
William Jun Grimshaw,,,Quaker,QCA,1840,1848
Henry Knight,,,Quaker,QCA,1840,1848
Henry Knight,,,Quaker,APS,1852,1859
Edward Paull,,,Quaker,QCA,1840,1848
Robert Jun Alsop,,,Quaker,QCA,1837,1848
Robert Jun Alsop,,,Quaker,HOD,,
Abram Rawlinson Barclay,,,Quaker,QCA,1837,1840
John Barclay,,,Quaker,QCA,1837,1840
Richard Barrett,,,Quaker,QCA,1837,1840
John Thomas Barry,,,Quaker,QCA,1837,1848
John Thomas Barry,,,Quaker,APS,1852,1854
Peter Bedford,,,Quaker,QCA,1837,1848
Peter Bedford,,,Quaker,APS,1860,1861
Peter Bedford,,,Quaker,HOD,,
John Bell,,,Quaker,QCA,1837,1840
John Bell,,,Quaker,APS,1838,1841
Thomas Christy,,,Quaker,QCA,1837,1840
Thomas Christy,,,Quaker,APS,1839,1841
Samuel Darton,,,Quaker,QCA,1837,1840
Josiah Forster,,,Quaker,QCA,1837,1848
Josiah Forster,,,Quaker,APS,1838,1868
Josiah Forster,,,Quaker,HOD,,
Josiah Forster,,,Quaker,HOD,,
Robert Forster,,,Quaker,QCA,1837,1848
